period,requestedStartDate,requestedEndDate,universeCount,strategy,startDate,endDate,years,initialCash,finalEquity,netProfit,totalReturnPct,cagrPct,firstTradeDate,inactiveYearsBeforeFirstTrade,activeYears,activeTotalReturnPct,activeCagrPct,maxDrawdownPct,maxDrawdownDate,trades,buys,sells,winRatePct,profitFactor,averageTradePct,medianTradePct,averageDaysHeld,maxOpenPositions,avgOpenPositions,avgDeployedPct,activeAvgOpenPositions,activeAvgDeployedPct,feesPaid,signalsDetected,skippedEntries
Dot-com / post burbuja,2000-03-24,2002-10-09,49,final_trend_runner_global_regime_dot_com_post_burbuja,2000-03-24,2002-10-09,2.54,1100,1100,0,0,0,,,,,,0,,0,0,0,,,,,,0,0,0,,,0,934,2489
Crisis financiera 2008,2007-10-09,2009-03-09,58,final_trend_runner_global_regime_crisis_financiera_2008,2007-10-09,2009-03-09,1.42,1100,1100,0,0,0,,,,,,0,,0,0,0,,,,,,0,0,0,,,0,370,650
COVID crash,2020-02-19,2020-03-23,177,final_trend_runner_global_regime_covid_crash,2020-02-19,2020-03-23,0.09,1100,1051.77,-48.23,-4.38,-39.12,2020-02-20,0,0.09,-4.1,-38.01,-4.38,2020-02-27,42,42,84,0,0,-3.8,-3.78,3,36,3,8.28,3.13,8.64,1.24,99,67
Bear market 2022,2022-01-03,2022-10-12,207,final_trend_runner_global_regime_bear_market_2022,2022-01-03,2022-10-12,0.77,1100,958.45,-141.55,-12.87,-16.34,2022-01-04,0,0.77,-12.71,-16.19,-12.87,2022-09-20,139,139,266,0,0,-3.53,-3.45,15.8,36,7.62,20.83,7.66,20.93,3.93,492,842
Subida tasas 2022 completo,2022-01-03,2022-12-30,207,final_trend_runner_global_regime_subida_tasas_2022_completo,2022-01-03,2022-12-30,0.99,1100,957.69,-142.31,-12.94,-13.08,2022-01-04,0,0.99,-12.77,-12.95,-13.01,2022-12-19,143,143,271,1.4,0.001,-3.45,-3.41,16.2,36,6.29,17.21,6.32,17.28,4.04,540,1200
