symbol;initialSlope;initialWeight;initialCapital;finalValue;strategyReturnPct;buyHoldAllInPct;trades;buys;sells;firstDate;lastDate
AAPL;11,235219;34,4983;3449,83;39422,52;649,70;1471,33;146;87;59;2013-10-01;2026-05-29
VOO;7,707817;23,6672;2366,72;21108,80;649,70;332,30;146;68;78;2013-10-01;2026-05-29
GLD;11,639616;35,7400;3574,00;12299,72;649,70;226,54;144;68;76;2013-10-01;2026-05-29
TLT;1,984785;6,0944;609,44;2131,92;649,70;-20,33;128;80;48;2013-10-01;2026-05-29
