date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2020-11-25;VOO;sell;7,281708;9,6941;1129,72;1060,59;-69,13;332,64001465;69,13;0,20781199;10940,52
2020-11-25;BNBUSDT;buy;52,495733;69,8875;7503,91;7646,06;142,15;31,29530000;142,15;4,54237390;10940,52
2020-11-26;VOO;sell;7,281708;9,6795;1060,59;968,50;-92,09;332,64001465;92,09;0,27684620;10005,66
2020-11-26;BNBUSDT;buy;52,507660;69,7980;6898,52;6983,75;85,23;28,23560000;85,23;3,01852359;10005,66
2020-11-27;BNBUSDT;sell;52,521334;69,7099;7039,40;7012,90;-26,50;28,46060000;26,50;0,93100860;10060,12
2020-11-27;BTCUSDT;buy;15,539700;20,6253;2045,37;2074,94;29,57;17139,52000000;29,57;0,00172511;10060,12
2020-11-28;BNBUSDT;sell;52,541251;69,6196;7189,33;7175,56;-13,77;29,17660000;13,77;0,47183121;10306,81
2020-11-28;VOO;buy;7,281708;9,6486;968,50;994,46;25,96;332,64001465;17,56;0,05277861;10306,81
2020-11-29;BNBUSDT;sell;52,569088;69,5292;7403,76;7364,06;-39,71;30,10450000;39,71;1,31901232;10591,32
2020-11-29;VOO;buy;7,281708;9,6310;986,05;1020,05;33,99;332,64001465;33,99;0,10218695;10591,32
2020-11-30;BTCUSDT;sell;15,880349;20,9585;2384,41;2329,33;-55,08;19695,87000000;55,08;0,00279675;11114,00
2020-11-30;BNBUSDT;buy;52,608458;69,4313;7703,83;7716,60;12,77;31,49350000;12,77;0,40542741;11114,00
2020-11-30;VOO;buy;7,281708;9,6102;1020,05;1068,08;48,03;332,64001465;48,03;0,14439910;11114,00
2020-12-01;VOO;sell;7,310698;9,6267;1103,56;1032,21;-71,35;343,69000244;71,35;0,20761021;10722,35
2020-12-01;BTCUSDT;buy;15,995193;21,0624;2219,23;2258,38;39,15;18764,96000000;39,15;0,00208626;10722,35
2020-12-01;BNBUSDT;buy;52,636191;69,3110;7399,56;7431,77;32,20;30,19960000;32,20;1,06640452;10722,35
2020-12-02;BTCUSDT;sell;16,113562;21,1774;2311,23;2286,49;-24,74;19204,09000000;24,74;0,00128838;10796,84
2020-12-02;BNBUSDT;buy;52,664244;69,2145;7453,40;7472,97;19,57;30,28750000;19,57;0,64621329;10796,84
2020-12-03;BNBUSDT;sell;52,695480;69,1183;7576,35;7551,97;-24,38;30,70650000;24,38;0,79406384;10926,15
2020-12-03;BTCUSDT;buy;16,233366;21,2926;2312,42;2326,46;14,04;19421,90000000;14,04;0,00072279;10926,15
2020-12-03;VOO;buy;7,310698;9,5891;1032,21;1047,72;15,51;343,69000244;15,51;0,04514206;10926,15
2020-12-04;VOO;sell;7,310698;9,5730;1047,72;997,49;-50,24;343,69000244;50,24;0,14616707;10419,73
2020-12-04;BNBUSDT;buy;52,711363;69,0232;7137,95;7192,04;54,08;29,02310000;50,24;1,73090261;10419,73
