strategy,date,equity,cash,positionValue,openPositions,deployedPct
old_slope_original_no_costs,2023-09-22,1100.0000000000002,870.299938855512,229.7000611444882,6,20.881823740408013
old_slope_original_no_costs,2023-09-23,1100.5265940130107,870.299938855512,230.2266551574989,6,20.919681215334364
old_slope_original_no_costs,2023-09-24,1097.590166240095,870.299938855512,227.29022738458295,6,20.708114410608143
old_slope_original_no_costs,2023-09-25,1099.9266862129616,870.299938855512,229.62674735744974,6,20.876550249730983
old_slope_original_no_costs,2023-09-26,1099.4789938031852,870.299938855512,229.1790549476732,6,20.844332291872593
old_slope_original_no_costs,2023-09-27,1099.84184580632,870.299938855512,229.54190695080797,6,20.87044676705544
old_slope_original_no_costs,2023-09-28,1104.4628981570063,870.299938855512,234.1629593014945,6,21.201523355129197
old_slope_original_no_costs,2023-09-29,1106.3157774462306,870.299938855512,236.01583859071852,6,21.333496584088028
old_slope_original_no_costs,2023-09-30,1108.4619791390664,870.299938855512,238.16204028355443,6,21.48581049830261
old_slope_original_no_costs,2023-10-01,1115.890451141693,870.299938855512,245.59051228618102,6,22.00847870280741
old_slope_original_no_costs,2023-10-02,1109.851977396984,870.299938855512,239.55203854147203,6,21.58414305872669
old_slope_original_no_costs,2023-10-03,1108.9606905286369,870.299938855512,238.66075167312485,6,21.52111916242552
old_slope_original_no_costs,2023-10-04,1108.6845225795198,870.299938855512,238.384583724008,6,21.50157045300594
old_slope_original_no_costs,2023-10-05,1105.8929534537874,870.299938855512,235.59301459827554,6,21.303419455065768
old_slope_original_no_costs,2023-10-06,1109.4681217907605,870.299938855512,239.16818293524835,6,21.557012611521806
old_slope_original_no_costs,2023-10-07,1108.0765558693242,870.299938855512,237.77661701381209,6,21.45850083681882
old_slope_original_no_costs,2023-10-08,1107.0579611166152,870.299938855512,236.75802226110318,6,21.386235461628516
old_slope_original_no_costs,2023-10-09,1098.9995261962142,870.299938855512,228.69958734070207,6,20.80979853851823
old_slope_original_no_costs,2023-10-10,1099.90496071141,870.299938855512,229.60502185589775,6,20.874987390491537
old_slope_original_no_costs,2023-10-11,1098.49296800339,870.299938855512,228.19302914787778,6,20.773280830612798
old_slope_original_no_costs,2023-10-12,1095.3612924109054,870.299938855512,225.06135355539342,6,20.546768916768116
old_slope_original_no_costs,2023-10-13,1097.2790684883223,870.299938855512,226.97912963281033,6,20.68563377824298
old_slope_original_no_costs,2023-10-14,1100.022675313743,870.299938855512,229.7227364582311,6,20.883454642670042
old_slope_original_no_costs,2023-10-15,1100.2668891284698,870.299938855512,229.96695027295775,6,20.901015248683564
old_slope_original_no_costs,2023-10-16,1106.1488570538327,870.299938855512,235.84891819832077,6,21.321625628804746
old_slope_original_no_costs,2023-10-17,1102.4984681221044,870.299938855512,232.19852926659271,6,21.06112035349115
