strategy,date,equity,cash,positionValue,openPositions,deployedPct,targetPositionCapital
final_trend_runner_global_regime,1994-12-27,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1994-12-28,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1994-12-29,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1994-12-30,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-03,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-04,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-05,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-06,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-09,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-10,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-11,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-12,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-13,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-16,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-17,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-18,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-19,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-20,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-23,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-24,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-25,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-26,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-27,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-30,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-01-31,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-01,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-02,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-03,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-06,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-07,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-08,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-09,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-10,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-13,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-14,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-15,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-16,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-17,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-21,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-22,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-23,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-24,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-27,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-02-28,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-01,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-02,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-03,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-06,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-07,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-08,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-09,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-10,1100,1100,0,0,0,30.25
final_trend_runner_global_regime,1995-03-13,1100,1100,0,0,0,30.25
