symbol;allocationPercentage;initialSlope;initialWeight;initialCapital;finalValue;strategyReturnPct;buyHoldAllInPct;trades;buys;sells;firstDate;lastDate
BTCUSDT;25,00;52,093349;26,5107;2651,07;7267,12;154,83;132,57;1378;654;724;2021-06-25;2026-05-29
BNBUSDT;15,00;123,973193;63,0910;6309,10;14726,39;154,83;129,02;1410;762;648;2021-06-25;2026-05-29
VOO;40,00;7,535800;3,8350;383,50;1398,32;154,83;76,74;852;447;405;2021-06-25;2026-05-29
GLDM;20,00;12,896720;6,5632;656,32;2087,33;154,83;154,18;859;441;418;2021-06-25;2026-05-29
