years;slope_low_limit;start;end;strategy_pct;allocation_buy_hold_pct;best_all_in_asset;best_all_in_pct;BTC_all_in;BNB_all_in;VOO_all_in;GLDM_all_in;beats_best_all_in
5;0,2;2023-06-25;2026-05-29;118,73;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,3;2023-06-25;2026-05-29;117,86;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,1;2023-06-25;2026-05-29;114,75;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
5;0,0;2023-06-25;2026-05-29;108,30;116,22;BNBUSDT;169,31;141,14;169,31;70,76;136,16;False
6;0,5;2024-06-25;2026-05-29;21,69;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,4;2024-06-25;2026-05-29;20,74;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,6;2024-06-25;2026-05-29;20,48;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,3;2024-06-25;2026-05-29;20,11;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,9;2024-06-25;2026-05-29;19,62;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,7;2024-06-25;2026-05-29;19,59;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,8;2024-06-25;2026-05-29;19,12;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,2;2024-06-25;2026-05-29;18,31;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,1;2024-06-25;2026-05-29;15,70;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
6;0,0;2024-06-25;2026-05-29;14,12;41,04;GLDM;95,12;18,85;11,23;39,06;95,12;False
7;0,9;2025-06-25;2026-05-29;-0,58;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,8;2025-06-25;2026-05-29;-1,07;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,0;2025-06-25;2026-05-29;-2,47;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,1;2025-06-25;2026-05-29;-3,11;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,2;2025-06-25;2026-05-29;-4,02;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,7;2025-06-25;2026-05-29;-5,28;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,3;2025-06-25;2026-05-29;-5,43;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,4;2025-06-25;2026-05-29;-7,18;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,6;2025-06-25;2026-05-29;-7,32;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
7;0,5;2025-06-25;2026-05-29;-8,03;8,78;GLDM;38,85;-31,57;-0,46;22,44;38,85;False
