strategy,symbol,signalDate,intendedEntryDate,signalType,holdScore,reason,regimeReason,regimeBenchmarks
final_trend_runner_global_regime,NKE,2016-01-28,2016-01-29,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLP,2016-01-29,2016-02-01,Pullback,89.83420283831428,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLU,2016-01-29,2016-02-01,Pullback + Breakout,72.75961892297835,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PG,2016-01-29,2016-02-01,Pullback + Breakout,71.51576852183172,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,HD,2016-01-29,2016-02-01,Pullback,77.09755097236554,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,SBUX,2016-01-29,2016-02-01,Pullback,83.74568210014985,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,NKE,2016-01-29,2016-02-01,Pullback,100,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLP,2016-02-01,2016-02-02,Pullback,89.84522082468567,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLU,2016-02-01,2016-02-02,Pullback + Breakout,72.77527994443597,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,HD,2016-02-01,2016-02-02,Pullback,77.11879998790201,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,SBUX,2016-02-01,2016-02-02,Pullback,83.77067693981311,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLU,2016-02-03,2016-02-04,Pullback + Breakout,72.80868368767133,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PG,2016-02-03,2016-02-04,Pullback,71.54356859849744,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,LMT,2016-02-03,2016-02-04,Pullback,86.48988365896892,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,SAP,2016-02-03,2016-02-04,Pullback,70.0076478593098,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PG,2016-02-05,2016-02-08,Pullback,71.56347139679085,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PG,2016-02-08,2016-02-09,Pullback + Breakout,71.57552670774534,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,LMT,2016-02-08,2016-02-09,Pullback,86.58296922349163,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLP,2016-02-09,2016-02-10,Pullback,89.90185860186827,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,LMT,2016-02-09,2016-02-10,Pullback,86.6166169927842,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLP,2016-02-12,2016-02-16,Pullback,89.92669873017876,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,UL,2016-02-12,2016-02-16,Pullback,86.92667984247129,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,ISRG,2016-02-16,2016-02-17,Reentrada,90.92736779114344,bear_regime_reentry_disabled,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,TSM,2016-02-16,2016-02-17,Pullback,97.75510204081633,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,XLP,2016-02-17,2016-02-18,Pullback,89.9462825615052,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,ISRG,2016-02-17,2016-02-18,Pullback,90.91958882918392,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PG,2016-02-17,2016-02-18,Pullback,71.63838321999428,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
final_trend_runner_global_regime,PEP,2016-02-17,2016-02-18,Pullback + Breakout,80.77733333889337,bear_regime_requires_hold90_pullback_breakout,SPY:daily_below_ema200;QQQ:daily_below_ema200,SPY:bear;QQQ:bear
