strategy,date,equity,cash,positionValue,openPositions,deployedPct,targetPositionCapital
final_trend_runner_fresh_common_period,2023-09-22,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-09-25,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-09-26,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-09-27,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-09-28,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-09-29,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-10-02,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-10-03,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-10-04,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-10-05,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-10-06,1100,1100,0,0,0,30.25
final_trend_runner_fresh_common_period,2023-10-09,1103.0702305315497,797.2609123649715,305.80931816657807,10,27.72346761812383,30.334431339617616
final_trend_runner_fresh_common_period,2023-10-10,1104.7817035813812,584.9642474957446,519.8174560856365,17,47.05159891773546,30.381496848487984
final_trend_runner_fresh_common_period,2023-10-11,1108.323133834651,554.5827506472567,553.7403831873941,18,49.96199811074283,30.4788861804529
final_trend_runner_fresh_common_period,2023-10-12,1106.1388763957375,554.5827506472567,551.5561257484807,18,49.8631896517082,30.418819100882782
final_trend_runner_fresh_common_period,2023-10-13,1101.2874278653271,554.5827506472567,546.7046772180703,18,49.642324372827126,30.285404266296496
final_trend_runner_fresh_common_period,2023-10-16,1107.3782700750944,554.5827506472567,552.7955194278378,18,49.919303490608606,30.452902427065098
final_trend_runner_fresh_common_period,2023-10-17,1106.9120235702053,493.67138225783384,613.2406413123715,20,55.401028108308104,30.440080648180647
final_trend_runner_fresh_common_period,2023-10-18,1098.4992612841577,493.67138225783384,604.8278790263239,20,55.059470710910944,30.208729685314335
final_trend_runner_fresh_common_period,2023-10-19,1093.1189535694446,523.2210040004395,569.897949569005,19,52.13503504884568,30.060771223159726
final_trend_runner_fresh_common_period,2023-10-20,1085.337782110825,789.0546885897965,296.2830935210285,10,27.298698930834302,29.846789008047686
final_trend_runner_fresh_common_period,2023-10-23,1085.240276882984,818.1390077762958,267.1012691066882,9,24.612178039858023,29.844107614282063
final_trend_runner_fresh_common_period,2023-10-24,1087.51923929403,877.7192974084179,209.79994188561224,7,19.291607385429355,29.906779080585828
final_trend_runner_fresh_common_period,2023-10-25,1083.2351332436153,935.4662378849731,147.76889535864223,5,13.641442270817631,29.788966164199422
final_trend_runner_fresh_common_period,2023-10-26,1082.4548125836527,1051.9903553612594,30.46445722239327,1,2.814386048104799,29.76750734605045
final_trend_runner_fresh_common_period,2023-10-27,1081.7632477375694,1051.9903553612594,29.772892376310008,1,2.7522558599192464,29.748489312783157
final_trend_runner_fresh_common_period,2023-10-30,1082.169630646486,1051.9903553612594,30.179275285226485,1,2.7887749231326557,29.759664842778363
final_trend_runner_fresh_common_period,2023-10-31,1082.4405487919496,1051.9903553612594,30.450193430690266,1,2.8131053908386927,29.767115091778614
