date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2021-07-12;GLDM;sell;12,581481;6,1996;693,97;678,96;-15,02;36,02000046;15,02;0,41696666;10951,63
2021-07-12;BTCUSDT;buy;53,280876;26,2544;2839,37;2875,29;35,92;33086,63000000;35,92;0,00108559;10951,63
2021-07-13;BTCUSDT;sell;53,340174;26,2353;2844,27;2823,42;-20,86;32729,77000000;20,86;0,00063721;10761,90
2021-07-13;GLDM;sell;12,581481;6,1882;678,96;665,97;-12,99;36,02000046;12,99;0,36060280;10761,90
2021-07-13;BNBUSDT;buy;129,807335;63,8456;6829,32;6871,00;41,68;308,94000000;36,59;0,11842900;10761,90
2021-07-15;BNBUSDT;sell;130,438166;63,9219;7025,26;6934,21;-91,05;316,11000000;91,05;0,28803607;10847,94
2021-07-15;BTCUSDT;buy;53,453640;26,1952;2750,11;2841,64;91,53;31880,00000000;91,05;0,00285606;10847,94
2021-07-16;BTCUSDT;sell;53,504797;26,1747;2796,95;2751,88;-45,07;31383,87000000;45,07;0,00143596;10513,51
2021-07-16;VOO;sell;7,585474;3,7108;406,60;390,14;-16,47;403,14999390;16,47;0,04084198;10513,51
2021-07-16;GLDM;sell;12,581481;6,1549;665,97;647,10;-18,87;36,02000046;18,87;0,52388527;10513,51
2021-07-16;BNBUSDT;buy;130,742285;63,9595;6643,99;6724,39;80,40;302,88000000;80,40;0,26545773;10513,51
2021-07-17;BTCUSDT;sell;53,556275;26,1549;2763,82;2739,22;-24,61;31520,07000000;24,61;0,00078072;10473,06
2021-07-17;BNBUSDT;buy;131,042647;63,9963;6672,00;6702,37;30,37;300,52000000;24,61;0,08188615;10473,06
2021-07-19;BTCUSDT;sell;53,655821;26,1303;2680,09;2603,91;-76,17;30839,65000000;76,17;0,00246993;9965,11
2021-07-19;VOO;sell;7,585474;3,6941;390,14;368,12;-22,02;403,14999390;22,02;0,05461212;9965,11
