date;symbol;action;slope;targetWeight;actualUsd;targetUsd;diffUsd;price;tradeUsd;units;portfolioValue
2014-10-01;AAPL;buy;11,758820;35,9510;4194,48;4207,38;12,90;29,73250008;12,90;0,43388174;11703,11
2014-10-01;GLD;buy;9,382854;28,6868;3310,60;3357,25;46,64;112,66000366;46,64;0,41402685;11703,11
2014-11-01;VOO;sell;9,746254;29,8698;3548,61;3524,81;-23,80;190,02999878;23,80;0,12525409;11800,57
2014-11-01;GLD;sell;9,195981;28,1834;3340,86;3325,80;-15,06;112,11000061;15,06;0,13433028;11800,57
2014-11-01;AAPL;buy;11,758820;36,0378;4207,38;4252,67;45,28;29,73250008;38,86;1,30704791;11800,57
2014-12-01;AAPL;sell;11,898877;36,4384;4586,50;4435,97;-150,53;32,11500168;150,53;4,68712593;12173,90
2014-12-01;VOO;buy;9,789817;29,9797;3494,57;3649,70;155,13;188,39999390;150,53;0,79897591;12173,90
2015-01-01;GLD;sell;8,877985;27,3086;3662,20;3395,29;-266,91;123,44999695;266,91;2,16210754;12433,04
2015-01-01;TLT;sell;1,984811;6,1053;794,43;759,07;-35,36;138,27999878;35,36;0,25573239;12433,04
2015-01-01;AAPL;buy;11,898877;36,6009;4435,97;4550,60;114,62;32,11500168;114,62;3,56920108;12433,04
2015-01-01;VOO;buy;9,748158;29,9853;3540,43;3728,08;187,65;182,99000549;187,65;1,02546554;12433,04
2015-02-01;VOO;sell;9,792743;30,2093;3936,09;3743,69;-192,40;193,19999695;192,40;0,99584411;12392,52
2015-02-01;GLD;buy;8,718123;26,8942;3194,79;3332,87;138,08;116,16000366;138,08;1,18871354;12392,52
2015-02-01;TLT;buy;2,006585;6,1900;711,04;767,10;56,06;129,52999878;54,32;0,41933228;12392,52
2015-03-01;AAPL;sell;12,029068;37,1398;4615,07;4573,62;-41,45;32,56999969;41,45;1,27257269;12314,61
2015-03-01;VOO;buy;9,775073;30,1806;3666,18;3716,62;50,44;189,19999695;41,45;0,21906814;12314,61
2015-04-01;VOO;sell;9,756629;30,2772;3744,86;3729,66;-15,21;191,10000610;15,21;0,07958066;12318,38
2015-04-01;GLD;sell;8,396695;26,0570;3255,69;3209,80;-45,90;113,47000122;45,90;0,40447550;12318,38
2015-04-01;AAPL;buy;12,029068;37,3291;4573,62;4598,34;24,71;32,56999969;24,71;0,75881981;12318,38
2015-04-01;TLT;buy;2,041991;6,3368;744,20;780,59;36,39;125,94999695;36,39;0,28891576;12318,38
2015-05-01;VOO;sell;9,742395;30,3841;3776,30;3756,31;-19,99;193,49000549;19,99;0,10331768;12362,77
2015-05-01;GLD;sell;8,244217;25,7116;3227,62;3178,67;-48,95;114,09999847;48,95;0,42899894;12362,77
2015-05-01;AAPL;buy;12,029068;37,5156;4598,34;4637,97;39,63;32,56999969;39,63;1,21673003;12362,77
2015-05-01;TLT;buy;2,048484;6,3887;760,51;789,82;29,31;122,70999908;29,31;0,23886252;12362,77
2015-06-01;VOO;sell;9,670684;30,2805;3666,04;3502,49;-163,55;188,83999634;163,55;0,86608776;11566,79
2015-06-01;GLD;sell;8,090716;25,3334;3130,47;2930,26;-200,21;112,37000275;200,21;1,78172675;11566,79
2015-06-01;TLT;sell;2,045043;6,4034;756,03;740,66;-15,36;117,45999908;15,36;0,13080374;11566,79
2015-06-01;AAPL;buy;12,130538;37,9827;4014,26;4393,38;379,13;28,19000053;379,13;13,44905459;11566,79
2015-07-01;VOO;sell;9,622956;30,3345;3578,72;3482,70;-96,01;192,94999695;96,01;0,49759621;11480,98
2015-07-01;TLT;sell;2,049977;6,4622;772,63;741,92;-30,71;122,52999878;30,71;0,25066807;11480,98
2015-07-01;GLD;buy;7,919289;24,9641;2736,25;2866,12;129,87;104,93000031;126,73;1,20771509;11480,98
2015-08-01;GLD;sell;7,764538;24,7179;2969,11;2809,60;-159,51;108,81999969;159,51;1,46580170;11366,69
2015-08-01;VOO;buy;9,465235;30,1319;3268,99;3425,00;156,00;181,11000061;156,00;0,86138246;11366,69
2015-09-01;AAPL;sell;12,228013;39,2483;4609,24;4491,05;-118,18;29,57500076;118,18;3,99609271;11442,65
2015-09-01;VOO;buy;9,261446;29,7265;3322,88;3401,50;78,62;175,71000671;78,62;0,44746457;11442,65
2015-09-01;GLD;buy;7,608391;24,4207;2759,00;2794,38;35,38;106,86000061;35,38;0,33108270;11442,65
2015-10-01;VOO;sell;9,178639;29,6741;3688,98;3498,38;-190,60;190,55999756;190,60;1,00020439;11789,33
2015-10-01;GLD;sell;7,463804;24,1301;2858,18;2844,78;-13,40;109,30000305;13,40;0,12260499;11789,33
2015-10-01;AAPL;buy;12,228013;39,5326;4491,05;4660,63;169,58;29,57500076;169,58;5,73383148;11789,33
2015-10-01;TLT;buy;2,061007;6,6631;743,43;785,54;42,11;122,77999878;42,11;0,34293949;11789,33
2015-11-01;AAPL;sell;12,228013;39,8488;4660,63;4623,90;-36,73;29,57500076;36,73;1,24197271;11603,61
2015-11-01;VOO;sell;9,094494;29,6372;3513,25;3438,99;-74,26;191,36999512;74,26;0,38804672;11603,61
2015-11-01;GLD;buy;7,301913;23,7956;2652,70;2761,14;108,44;101,91999817;108,44;1,06400683;11603,61
2015-12-01;VOO;sell;8,972766;29,4489;3359,20;3139,59;-219,61;186,92999268;219,61;1,17484194;10661,14
2015-12-01;GLD;sell;7,143622;23,4456;2748,68;2499,57;-249,11;101,45999908;249,11;2,45530182;10661,14
2015-12-01;TLT;sell;2,060332;6,7621;771,46;720,91;-50,55;120,58000183;50,55;0,41922703;10661,14
2015-12-01;AAPL;buy;12,292221;40,3434;3779,25;4301,07;521,83;24,17250061;521,83;21,58762092;10661,14
2016-01-01;GLD;sell;7,005483;23,2357;2634,82;2482,13;-152,69;106,94999695;152,69;1,42770217;10682,39
2016-01-01;TLT;sell;2,069028;6,8625;761,09;733,08;-28,01;127,30000305;28,01;0,22003154;10682,39
2016-01-01;AAPL;buy;12,292221;40,7707;4301,07;4355,28;54,21;24,17250061;54,21;2,24254916;10682,39
2016-01-01;VOO;buy;8,782941;29,1311;2985,41;3111,90;126,49;177,75000000;126,49;0,71164409;10682,39
2016-02-01;GLD;sell;6,901132;23,1036;2753,43;2534,10;-219,33;118,63999939;219,33;1,84872074;10968,41
2016-02-01;AAPL;buy;12,292221;41,1519;4355,28;4513,71;158,43;24,17250061;158,43;6,55407882;10968,41
